method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,s_top,status,reason,joins_performed,tree_edges_final,initial_known_graph_components,n_pair_selection_failures,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,50,20,74,NJstar_STRICT_completed_p50_rep20_seed74.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0476208900540454,0.033613596569653,0.3473418126832946,0.1628105523776999,0.0077497680031228,True,True,True,13,13,0.1198139571603459,9.642883643367254,0.0,0.0,missing_p50_rep20_seed74.csv,NJstar_STRICT_completed_p50_rep20_seed74.csv,
NJstar-STRICT,50,21,75,NJstar_STRICT_completed_p50_rep21_seed75.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0392581697284166,0.0307967248332778,0.5512551034058217,0.167420814479638,0.007460283988621,True,True,True,13,13,0.1294240143765046,53680453734.91893,0.0,0.0,missing_p50_rep21_seed75.csv,NJstar_STRICT_completed_p50_rep21_seed75.csv,
NJstar-STRICT,50,22,76,NJstar_STRICT_completed_p50_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0019472232774421,0.0013821248713938,0.998569900164899,0.9712285494749424,0.0082714729942381,True,True,True,13,13,0.0179134031389761,0.7610182004014434,0.0,0.0,missing_p50_rep22_seed76.csv,NJstar_STRICT_completed_p50_rep22_seed76.csv,
NJstar-STRICT,50,23,77,NJstar_STRICT_completed_p50_rep23_seed77.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0196088110713826,0.0073046003381359,0.8743811709496017,0.8104670024758814,0.0077456819999497,True,True,True,13,13,0.0334770923367764,1.5746257058057886,0.0,0.0,missing_p50_rep23_seed77.csv,NJstar_STRICT_completed_p50_rep23_seed77.csv,
NJstar-STRICT,50,24,78,NJstar_STRICT_completed_p50_rep24_seed78.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0270191884737403,0.0094682898428393,0.7644967399411237,0.7248356526935882,0.0075578539981506,True,True,True,13,13,0.0298532149226559,1.3090730409385187,0.0,0.0,missing_p50_rep24_seed78.csv,NJstar_STRICT_completed_p50_rep24_seed78.csv,
NJstar-STRICT,50,25,79,NJstar_STRICT_completed_p50_rep25_seed79.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.020249064652586,0.0088205042602509,0.8712383370570218,0.79040382481004,0.0069656419946113,True,True,True,13,13,0.0377411078233527,1.8562748410484136,0.0,0.0,missing_p50_rep25_seed79.csv,NJstar_STRICT_completed_p50_rep25_seed79.csv,
NJstar-STRICT,50,26,80,NJstar_STRICT_completed_p50_rep26_seed80.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0268891032850766,0.0109443653587446,0.817605164223981,0.9501408691197816,0.0069621699949493,True,True,True,13,13,0.0129908359365713,0.5072102239650482,0.0,0.0,missing_p50_rep26_seed80.csv,NJstar_STRICT_completed_p50_rep26_seed80.csv,
NJstar-STRICT,50,27,81,NJstar_STRICT_completed_p50_rep27_seed81.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0261547171982579,0.0168082933859101,0.7566727246140004,0.7094681123537948,0.0079745570110389,True,True,True,13,13,0.0954156072787275,14.916765849368074,0.0,0.0,missing_p50_rep27_seed81.csv,NJstar_STRICT_completed_p50_rep27_seed81.csv,
NJstar-STRICT,50,28,82,NJstar_STRICT_completed_p50_rep28_seed82.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0310832303940206,0.0172250650034992,0.7169570923851103,0.614018611798856,0.0074282309942645,True,True,True,13,13,0.0728713676322866,5.321509883610911,0.0,0.0,missing_p50_rep28_seed82.csv,NJstar_STRICT_completed_p50_rep28_seed82.csv,
NJstar-STRICT,50,29,83,NJstar_STRICT_completed_p50_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0109621790961799,0.0041291421243869,0.9617122311412172,0.969862545889183,0.0073684109956957,True,True,True,13,13,0.0225522380265032,0.9261535054281702,0.0,0.0,missing_p50_rep29_seed83.csv,NJstar_STRICT_completed_p50_rep29_seed83.csv,
